Athlete,Rating,Number Of Races
"Farah, Mo",1665.2462328852391,6
"Edris, Muktar",1619.618618567209,10
"Gebrhiwet, Hagos",1595.557414257865,6
"Chelimo, Paul",1566.170876669088,7
"Kejelcha, Yomif",1558.4856047215894,8
"Cheptegei, Joshua",1549.7558552628766,7
"Ahmed, Mohammed",1547.0323263296712,5
"Lagat, Bernard",1545.1763380324371,4
"Butchart, Andrew",1544.3956051946632,7
"Rop, Albert",1538.364931632141,8
"Osman, Abrar",1533.1191398091462,2
"Iguider, Abdelaati",1530.7099082130178,6
"Gebremeskel, Dejen",1530.501082748427,3
"Kamworwor, Geoffrey",1530.2236758429776,2
"Gelant, Elroy",1529.4217611547476,2
"Balew, Birhanu",1528.800204879279,3
"Kwemoi, Ronald",1524.4580772424113,2
"Jeilan, Ibrahim",1524.1648608421133,2
"Torrence, David",1523.8467915016956,2
"Barega, Selemon",1519.7506771956705,1
"Robinson, Brett",1513.9761951680466,5
"Jager, Evan",1511.702332045265,1
"Kiptanui, Matthew",1503.1998280742996,1
"Demelash, Yigrem",1503.136415821688,1
"Kiplangat, Davis",1500.7649367164522,1
"Mechaal, Adel",1500.6549440700958,5
"Maiyo, Hillary",1500.5071139190866,2
"Embaye, Abadi",1500.3852864970056,2
"Kipkoech, John",1500.2840747349371,1
"Longosiwa, Thomas",1500.144520776062,5
"Mikhou, Sadik",1499.759025747919,1
"Fifa, Ilias",1499.3411568205972,1
"Awad, Zouhair",1499.22136803702,2
"Berihu, Salomon",1498.9442686263587,1
"Bayer, Andrew",1498.842897153522,1
"Kangogo, Cornelius",1498.741038247923,1
"Kaazouzi, Brahim",1498.593084186828,1
"Taylor, Jonathan",1498.4971372233106,1
"Al Amri, Tariq",1498.2175442307937,1
"Ayele, Abayneh",1498.1953470669903,1
"Kibiwott, Abraham",1498.1871261401413,1
"Koech, Paul",1497.8552582008426,1
"Kipsang, Emmanuel",1497.8442818070978,1
"Weir, Richard",1497.838590518555,1
"Goolab, Nick",1497.709114461359,1
"Haileselassie, Yemane",1497.6200897460367,1
"Griffiths, Dewi",1497.3793869240328,1
"Scott, Marc",1497.367740077114,1
"Ngelel, Frank",1497.3533361648833,2
"Mokoka, Stephen",1497.1987456150116,1
"Mekhissi, Mahiedine",1496.912269365734,1
"Gregson, Ryan",1496.7389754282092,2
"Crippa, Yemaneberhan",1496.5845711344186,1
"Kipruto, Conseslus",1496.5444933737626,1
"Gashahun, Abe",1496.5352507456125,1
"Abadia Beci, Antonio",1496.518076237211,1
"St. Lawrence, Ben",1496.2979173973495,2
"Cheboi, Collins",1496.262768835465,1
"Amdouni, Morhad",1496.1400762452868,1
"Masters, Riley",1495.8651725512577,1
"Jenkins, Eric",1495.5051087541947,3
"Tadese, Zersenay",1495.3592982678426,1
"Alamirew, Yenew",1495.1886013396836,6
"Hill, Ryan",1494.9164571729564,5
"Barsoton, Leonard",1494.880763571643,1
"Debela, Dejene",1494.7642144117635,2
"Bacha Regasa, Zelalem",1494.5442660133444,1
"Kibet, Vincent",1494.1507455923968,1
"Sitonik, William",1493.802847626911,1
"Levins, Cameron",1493.641277330682,1
"Millington, Ross",1493.5167538700607,1
"Haji, Yasin",1493.5028665538675,1
"Wolde, Dawit",1493.500867389424,1
"Korir, Leonard",1492.5889938715343,1
"Buraas, Sindre",1492.4541664823316,1
"Yoroizaka, Tetsuya",1492.4349552623971,1
"Kowal, Yoann",1492.2695848346716,2
"Kosimbe, Nicholas",1491.8770692277685,1
"Muneria, Charles",1491.7745168962094,1
"Essalhi, Younés",1491.7723298408025,1
"Berihu, Solomon",1491.7148887089218,1
"Nkhasi, Namakoe",1491.6799504674166,1
"D'Hoedt, Jeroen",1491.525541346936,2
"Legese, Birhanu",1491.3613639699913,2
"Irabaruta, Olivier",1491.3602063059525,1
"Mead, Hassan",1491.326514720215,4
"Campbell, Kemoy",1491.2210959261913,1
"Sambu, Stephan",1490.991181121767,1
"Bruchet, Lucas",1490.8645937404415,1
"Ringer, Richard",1490.520881805433,1
"Tamire, Getaneh",1490.43001259723,2
"Chelanga, Samuel",1490.3032133265176,1
"Nftalem, Awet",1490.2927977374613,1
"Alotaibi, Mukhlid",1490.0900077475949,1
"Duo, Bujie",1489.9209719022656,1
"Kifle, Aron",1489.8387459660953,2
"Kiptoo, Frederick",1489.730584518845,1
"Murayama, Kota",1489.530584359463,1
"McEntee, Sam",1489.4884445198177,2
"Ayalew, Aweke",1489.2619692404846,2
"Kiplimo, Jacob",1488.890960540811,3
"Rimal, Hari",1488.7568353518836,1
"Merga, Imane",1487.7470075734796,2
"Mohamed, Mohamed Daud",1487.5504629160525,1
"Kipchirchir, Sylvester",1487.1673186900214,1
"Abdi, Bashir",1486.676517178112,3
"Birgen, Bethwell",1486.5416529297022,6
"Bouqantar, Soufiyan",1485.4497898591178,3
"Derrick, Chris",1485.3687205449207,1
"Mullett, Rob",1485.1569599428906,2
"Siosi, Rosefelo",1485.0272318250934,1
"Tanui, Paul",1484.9634330072936,4
"Al-Amri, Tariq",1484.4331884687797,1
"Abadia, Antonio",1484.3069453709063,1
"Kaya, Ali",1484.1574446390664,1
"Chitsala, Kefasi",1483.8645558730645,1
"San Naing, San Naing",1482.9124693746755,1
"Osako, Suguru",1482.1837582762785,1
"True, Ben",1481.4464211144511,6
"Fifa, Illias",1480.7381850138352,1
"Leitao, Romario",1480.5334267020264,1
"Farrell, Thomas",1479.6125128358483,2
"Tewelde, Hiskel",1478.562136678684,1
"Ibrahimov, Hayle",1477.233354875221,6
"Soi, Edwin",1477.0301054967001,8
"Orth, Florian",1475.0785861755762,1
"Rutto, Cyrus",1473.8964165580967,4
"Tiernan, Patrick",1473.2748425883888,4
"Ndiku, Caleb",1463.282133942215,5
"Koech, Isiah",1454.5589213800906,5
"Kipyeko, Phillip",1411.03673082134,1
