Athlete,Rating,Number Of Races
"Kiprop, Asbel",1664.7469076045052,9
"Centrowitz, Matthew",1664.4805242188809,3
"Iguider, Abdelaati",1626.9966336416692,7
"Makhloufi, Taofik",1622.1099605083784,7
"Cheruiyot, Timothy",1621.3894388132799,3
"Willis, Nick",1604.7613800539852,5
"Manangoi, Elijah",1600.5042595826953,7
"Souleiman, Ayanleh",1590.9446149844603,3
"Kwemoi, Ronald",1590.6849113684762,4
"Brannen, Nathan",1566.4799379495003,4
"Musagala, Ronald",1564.1941441440829,3
"Blankenship, Ben",1562.5145871214002,5
"Gregson, Ryan",1560.4301371350743,10
"Kiplagat, Silas",1555.573378687272,6
"Bustos, David",1541.5973650319247,2
"Andrews, Robby",1517.3937890631303,2
"Grice, Charles",1512.5543986379416,5
"Kibet, Vincent",1509.0854115119766,5
"Biwott, Robert",1505.8677782351256,4
"El Kaam, Fouad",1505.2094271996025,3
"Farah, Mo",1504.0386312031424,1
"Rogestedt, Johan",1498.654092508664,1
"Mouhyadin, Abdi",1498.2777535572684,1
"Ingebrigtsen, Filip",1496.3056404138947,3
"Wightman, Jake",1495.4593178913585,2
"Ngetich, Hillary",1494.9832162335633,1
"Wote, Aman",1494.6491939373368,3
"Emanuel, Lee",1494.3960263587219,1
"Essalhi, Younés",1494.330875786533,1
"Jager, Evan",1493.2159519289619,1
"Bayer, Andrew",1492.6542552218816,1
"Moukrime, Tarik",1492.4443643679037,1
"Kaazouzi, Brahim",1491.2635221518256,2
"Magut, James",1491.081810834717,2
"Tesfaye, Homiyu",1490.994533954384,4
"Debjani, Ismael",1490.987381270801,1
"Philibert-Thiboutot, Charles",1490.836893391972,4
"Birgen, Bethwell",1489.6912656783225,4
"Douma, Richard",1489.2498033981076,1
"Moustaoui, Mohamed",1489.1018292238143,1
"Hlaselo, Dumisane",1487.409970428834,2
"Nabil, Oussama",1487.222813253317,1
"Benitz, Timo",1487.210516032786,1
"Manzano, Leo",1486.982541118612,1
"Amdouni, Morhad",1485.1767131782183,2
"Mousab, Adam",1483.6871340198584,2
"Alonso, Carlos",1483.5953481588465,1
"Abdikadar, Mohad",1483.3899437979583,1
"Hunter, Andrew",1482.981978053484,1
"O'Hare, Chris",1482.4015433937166,4
"Lancashire, Thomas",1481.290920222017,2
"Cheboi, Collins",1481.138095780691,2
"Ingebrigtsen, Henrik",1473.8185569327081,6
"Wolde, Dawit",1469.2871605895348,6
"Holusa, Jakub",1469.0444333917244,4
"Gebremedhin, Mekonnen",1468.5625174741544,2
"Hannes, Pieter-Jan",1463.3597620154737,5
"Kenyi, Santino",1455.7651464982464,1
"Alzaabi, Saud",1454.0727599527675,1
"Amotun, Paulo",1453.2219555874426,1
"Soares, Agusto",1452.6454728129017,1
"Andre, Thiago",1451.1062555036444,1
"Rodriguez, Erick",1445.0794484363869,1
"Rageh, Mohammed",1444.31165833862,1
"Mechaal, Adel",1443.9252303459282,1
"Ozbilen, Ilham",1434.9970040815856,1
"Seurei, Benson",1434.3876950089088,2
"Carvalho, Florian",1422.6481727927212,4
"Carson, Hamish",1404.9746514639987,1
"Matthews, Luke",1343.9792707145677,2
"Keddar, Salim",1342.1899858138097,2
